2025-03-04 21:49:36,825 - ufc_model - WARNING - NaN loss detected in batch 87, skipping
2025-03-04 21:49:36,825 - ufc_model - WARNING - NaN loss detected in batch 88, skipping
2025-03-04 21:49:36,826 - ufc_model - WARNING - NaN loss detected in batch 89, skipping
2025-03-04 21:49:36,826 - ufc_model - WARNING - NaN loss detected in batch 90, skipping
2025-03-04 21:49:36,827 - ufc_model - WARNING - NaN loss detected in batch 91, skipping
2025-03-04 21:49:36,828 - ufc_model - WARNING - NaN loss detected in batch 92, skipping
2025-03-04 21:49:36,828 - ufc_model - WARNING - NaN loss detected in batch 93, skipping
2025-03-04 21:49:36,829 - ufc_model - WARNING - NaN loss detected in batch 94, skipping
2025-03-04 21:49:36,829 - ufc_model - WARNING - NaN loss detected in batch 95, skipping
2025-03-04 21:49:36,829 - ufc_model - WARNING - NaN loss detected in batch 96, skipping
2025-03-04 21:49:36,830 - ufc_model - WARNING - NaN loss detected in batch 97, skipping
2025-03-04 21:49:36,831 - ufc_model - WARNING - NaN loss detected in batch 98, skipping
2025-03-04 21:49:36,832 - ufc_model - WARNING - NaN loss detected in batch 99, skipping
2025-03-04 21:49:36,832 - ufc_model - WARNING - NaN loss detected in batch 100, skipping
2025-03-04 21:49:36,833 - ufc_model - WARNING - NaN loss detected in batch 101, skipping
2025-03-04 21:49:36,834 - ufc_model - WARNING - NaN loss detected in batch 102, skipping
2025-03-04 21:49:36,834 - ufc_model - WARNING - NaN loss detected in batch 103, skipping
2025-03-04 21:49:36,835 - ufc_model - WARNING - NaN loss detected in batch 104, skipping
2025-03-04 21:49:36,835 - ufc_model - WARNING - NaN loss detected in batch 105, skipping
2025-03-04 21:49:36,836 - ufc_model - WARNING - NaN loss detected in batch 106, skipping
2025-03-04 21:49:36,837 - ufc_model - WARNING - NaN loss detected in batch 107, skipping
2025-03-04 21:49:36,837 - ufc_model - WARNING - NaN loss detected in batch 108, skipping
2025-03-04 21:49:36,838 - ufc_model - WARNING - NaN loss detected in batch 109, skipping
2025-03-04 21:49:36,838 - ufc_model - WARNING - NaN loss detected in batch 110, skipping
2025-03-04 21:49:36,838 - ufc_model - WARNING - NaN loss detected in batch 111, skipping
2025-03-04 21:49:36,839 - ufc_model - WARNING - NaN loss detected in batch 112, skipping
2025-03-04 21:49:36,840 - ufc_model - WARNING - NaN loss detected in batch 113, skipping
2025-03-04 21:49:36,840 - ufc_model - WARNING - NaN loss detected in batch 114, skipping
2025-03-04 21:49:36,841 - ufc_model - WARNING - NaN loss detected in batch 115, skipping
2025-03-04 21:49:36,842 - ufc_model - WARNING - NaN loss detected in batch 116, skipping
2025-03-04 21:49:36,842 - ufc_model - WARNING - NaN loss detected in batch 117, skipping
2025-03-04 21:49:36,843 - ufc_model - WARNING - NaN loss detected in batch 118, skipping
2025-03-04 21:49:36,844 - ufc_model - WARNING - NaN loss detected in batch 119, skipping
2025-03-04 21:49:36,844 - ufc_model - WARNING - NaN loss detected in batch 120, skipping
2025-03-04 21:49:36,845 - ufc_model - WARNING - NaN loss detected in batch 121, skipping
2025-03-04 21:49:36,845 - ufc_model - WARNING - NaN loss detected in batch 122, skipping
2025-03-04 21:49:36,846 - ufc_model - WARNING - NaN loss detected in batch 123, skipping
2025-03-04 21:49:36,846 - ufc_model - WARNING - NaN loss detected in batch 124, skipping
2025-03-04 21:49:36,847 - ufc_model - WARNING - NaN loss detected in batch 125, skipping
2025-03-04 21:49:36,848 - ufc_model - WARNING - NaN loss detected in batch 126, skipping
2025-03-04 21:49:36,848 - ufc_model - WARNING - NaN loss detected in batch 127, skipping
2025-03-04 21:49:36,849 - ufc_model - WARNING - NaN loss detected in batch 128, skipping
2025-03-04 21:49:36,849 - ufc_model - WARNING - NaN loss detected in batch 129, skipping
2025-03-04 21:49:36,850 - ufc_model - WARNING - NaN loss detected in batch 130, skipping
2025-03-04 21:49:36,850 - ufc_model - WARNING - NaN loss detected in batch 131, skipping
2025-03-04 21:49:36,851 - ufc_model - WARNING - NaN loss detected in batch 132, skipping
2025-03-04 21:49:36,851 - ufc_model - WARNING - NaN loss detected in batch 133, skipping
2025-03-04 21:49:36,852 - ufc_model - WARNING - NaN loss detected in batch 134, skipping
2025-03-04 21:49:36,853 - ufc_model - WARNING - NaN loss detected in batch 135, skipping
2025-03-04 21:49:36,853 - ufc_model - WARNING - NaN loss detected in batch 136, skipping
2025-03-04 21:49:36,854 - ufc_model - WARNING - NaN loss detected in batch 137, skipping
2025-03-04 21:49:36,854 - ufc_model - WARNING - NaN loss detected in batch 138, skipping
2025-03-04 21:49:36,855 - ufc_model - WARNING - NaN loss detected in batch 139, skipping
2025-03-04 21:49:36,855 - ufc_model - WARNING - NaN loss detected in batch 140, skipping
2025-03-04 21:49:36,856 - ufc_model - WARNING - NaN loss detected in batch 141, skipping
2025-03-04 21:49:36,856 - ufc_model - WARNING - NaN loss detected in batch 142, skipping
2025-03-04 21:49:36,857 - ufc_model - WARNING - NaN loss detected in batch 143, skipping
2025-03-04 21:49:36,857 - ufc_model - WARNING - NaN loss detected in batch 144, skipping
2025-03-04 21:49:36,858 - ufc_model - WARNING - NaN loss detected in batch 145, skipping
2025-03-04 21:49:36,858 - ufc_model - WARNING - NaN loss detected in batch 146, skipping
2025-03-04 21:49:36,859 - ufc_model - WARNING - NaN loss detected in batch 147, skipping
2025-03-04 21:49:36,859 - ufc_model - WARNING - NaN loss detected in batch 148, skipping
2025-03-04 21:49:36,860 - ufc_model - WARNING - NaN loss detected in batch 149, skipping
2025-03-04 21:49:36,861 - ufc_model - WARNING - NaN loss detected in batch 150, skipping
2025-03-04 21:49:36,861 - ufc_model - WARNING - NaN loss detected in batch 151, skipping
2025-03-04 21:49:36,862 - ufc_model - WARNING - NaN loss detected in batch 152, skipping
2025-03-04 21:49:36,862 - ufc_model - WARNING - NaN loss detected in batch 153, skipping
2025-03-04 21:49:36,863 - ufc_model - WARNING - NaN loss detected in batch 154, skipping
2025-03-04 21:49:36,863 - ufc_model - WARNING - NaN loss detected in batch 155, skipping
2025-03-04 21:49:36,864 - ufc_model - WARNING - NaN loss detected in batch 156, skipping
2025-03-04 21:49:36,865 - ufc_model - WARNING - NaN loss detected in batch 157, skipping
2025-03-04 21:49:36,865 - ufc_model - WARNING - NaN loss detected in batch 158, skipping
2025-03-04 21:49:36,866 - ufc_model - WARNING - NaN loss detected in batch 159, skipping
2025-03-04 21:49:36,866 - ufc_model - WARNING - NaN loss detected in batch 160, skipping
2025-03-04 21:49:36,867 - ufc_model - WARNING - NaN loss detected in batch 161, skipping
2025-03-04 21:49:36,867 - ufc_model - WARNING - NaN loss detected in batch 162, skipping
2025-03-04 21:49:36,868 - ufc_model - WARNING - NaN loss detected in batch 163, skipping
2025-03-04 21:49:36,868 - ufc_model - WARNING - NaN loss detected in batch 164, skipping
2025-03-04 21:49:36,869 - ufc_model - WARNING - NaN loss detected in batch 165, skipping
2025-03-04 21:49:36,869 - ufc_model - WARNING - NaN loss detected in batch 166, skipping
2025-03-04 21:49:36,870 - ufc_model - WARNING - NaN loss detected in batch 167, skipping
2025-03-04 21:49:36,870 - ufc_model - WARNING - NaN loss detected in batch 168, skipping
2025-03-04 21:49:36,871 - ufc_model - WARNING - NaN loss detected in batch 169, skipping
2025-03-04 21:49:36,871 - ufc_model - WARNING - NaN loss detected in batch 170, skipping
2025-03-04 21:49:36,872 - ufc_model - WARNING - NaN loss detected in batch 171, skipping
2025-03-04 21:49:36,872 - ufc_model - WARNING - NaN loss detected in batch 172, skipping
2025-03-04 21:49:36,873 - ufc_model - WARNING - NaN loss detected in batch 173, skipping
2025-03-04 21:49:36,874 - ufc_model - WARNING - NaN loss detected in batch 174, skipping
2025-03-04 21:49:36,874 - ufc_model - WARNING - NaN loss detected in batch 175, skipping
2025-03-04 21:49:36,875 - ufc_model - WARNING - NaN loss detected in batch 176, skipping
2025-03-04 21:49:36,875 - ufc_model - WARNING - NaN loss detected in batch 177, skipping
2025-03-04 21:49:36,875 - ufc_model - WARNING - NaN loss detected in batch 178, skipping
2025-03-04 21:49:36,876 - ufc_model - WARNING - NaN loss detected in batch 179, skipping
2025-03-04 21:49:36,876 - ufc_model - WARNING - NaN loss detected in batch 180, skipping
2025-03-04 21:49:36,877 - ufc_model - WARNING - NaN loss detected in batch 181, skipping
2025-03-04 21:49:36,878 - ufc_model - WARNING - NaN loss detected in batch 182, skipping
2025-03-04 21:49:36,878 - ufc_model - WARNING - NaN loss detected in batch 183, skipping
2025-03-04 21:49:36,879 - ufc_model - WARNING - NaN loss detected in batch 184, skipping
2025-03-04 21:49:36,879 - ufc_model - WARNING - NaN loss detected in batch 185, skipping
2025-03-04 21:49:36,880 - ufc_model - WARNING - NaN loss detected in batch 186, skipping
2025-03-04 21:49:36,880 - ufc_model - WARNING - NaN loss detected in batch 187, skipping
2025-03-04 21:49:36,881 - ufc_model - WARNING - NaN loss detected in batch 188, skipping
2025-03-04 21:49:36,881 - ufc_model - WARNING - NaN loss detected in batch 189, skipping
2025-03-04 21:49:36,882 - ufc_model - WARNING - NaN loss detected in batch 190, skipping
2025-03-04 21:49:36,882 - ufc_model - WARNING - NaN loss detected in batch 191, skipping
2025-03-04 21:49:36,883 - ufc_model - WARNING - NaN loss detected in batch 192, skipping
2025-03-04 21:49:36,884 - ufc_model - WARNING - NaN loss detected in batch 193, skipping
2025-03-04 21:49:36,884 - ufc_model - WARNING - NaN loss detected in batch 194, skipping
2025-03-04 21:49:36,885 - ufc_model - WARNING - NaN loss detected in batch 195, skipping
2025-03-04 21:49:36,885 - ufc_model - WARNING - NaN loss detected in batch 196, skipping
2025-03-04 21:49:36,885 - ufc_model - WARNING - NaN loss detected in batch 197, skipping
2025-03-04 21:49:36,886 - ufc_model - WARNING - NaN loss detected in batch 198, skipping
2025-03-04 21:49:36,886 - ufc_model - WARNING - NaN loss detected in batch 199, skipping
2025-03-04 21:49:36,887 - ufc_model - WARNING - NaN loss detected in batch 200, skipping
2025-03-04 21:49:36,887 - ufc_model - WARNING - NaN loss detected in batch 201, skipping
2025-03-04 21:49:36,888 - ufc_model - WARNING - NaN loss detected in batch 202, skipping
2025-03-04 21:49:36,888 - ufc_model - WARNING - NaN loss detected in batch 203, skipping
2025-03-04 21:49:36,889 - ufc_model - WARNING - NaN loss detected in batch 204, skipping
2025-03-04 21:49:36,889 - ufc_model - WARNING - NaN loss detected in batch 205, skipping
2025-03-04 21:49:36,890 - ufc_model - WARNING - NaN loss detected in batch 206, skipping
2025-03-04 21:49:36,890 - ufc_model - WARNING - NaN loss detected in batch 207, skipping
2025-03-04 21:49:36,891 - ufc_model - WARNING - NaN loss detected in batch 208, skipping
2025-03-04 21:49:36,891 - ufc_model - WARNING - NaN loss detected in batch 209, skipping
2025-03-04 21:49:36,892 - ufc_model - WARNING - NaN loss detected in batch 210, skipping
2025-03-04 21:49:36,892 - ufc_model - WARNING - NaN loss detected in batch 211, skipping
2025-03-04 21:49:36,893 - ufc_model - WARNING - NaN loss detected in batch 212, skipping
2025-03-04 21:49:36,893 - ufc_model - WARNING - NaN loss detected in batch 213, skipping
2025-03-04 21:49:36,894 - ufc_model - WARNING - NaN loss detected in batch 214, skipping
2025-03-04 21:49:36,894 - ufc_model - WARNING - NaN loss detected in batch 215, skipping
2025-03-04 21:49:36,895 - ufc_model - WARNING - NaN loss detected in batch 216, skipping
2025-03-04 21:49:36,895 - ufc_model - WARNING - NaN loss detected in batch 217, skipping
2025-03-04 21:49:36,896 - ufc_model - WARNING - NaN loss detected in batch 218, skipping
2025-03-04 21:49:36,896 - ufc_model - WARNING - NaN loss detected in batch 219, skipping
2025-03-04 21:49:36,897 - ufc_model - WARNING - NaN loss detected in batch 220, skipping
2025-03-04 21:49:36,897 - ufc_model - WARNING - NaN loss detected in batch 221, skipping
2025-03-04 21:49:36,898 - ufc_model - WARNING - NaN loss detected in batch 222, skipping
2025-03-04 21:49:36,898 - ufc_model - WARNING - NaN loss detected in batch 223, skipping
2025-03-04 21:49:36,899 - ufc_model - WARNING - NaN loss detected in batch 224, skipping
2025-03-04 21:49:36,899 - ufc_model - WARNING - NaN loss detected in batch 225, skipping
2025-03-04 21:49:36,900 - ufc_model - WARNING - NaN loss detected in batch 226, skipping
2025-03-04 21:49:36,901 - ufc_model - WARNING - NaN loss detected in batch 227, skipping
2025-03-04 21:49:36,901 - ufc_model - WARNING - NaN loss detected in batch 228, skipping
2025-03-04 21:49:36,902 - ufc_model - WARNING - NaN loss detected in batch 229, skipping
2025-03-04 21:49:36,902 - ufc_model - WARNING - NaN loss detected in batch 230, skipping
2025-03-04 21:49:36,903 - ufc_model - WARNING - NaN loss detected in batch 231, skipping
2025-03-04 21:49:36,903 - ufc_model - WARNING - NaN loss detected in batch 232, skipping
2025-03-04 21:49:36,904 - ufc_model - WARNING - NaN loss detected in batch 233, skipping
2025-03-04 21:49:36,904 - ufc_model - WARNING - NaN loss detected in batch 234, skipping
2025-03-04 21:49:36,904 - ufc_model - WARNING - NaN loss detected in batch 235, skipping
2025-03-04 21:49:36,905 - ufc_model - WARNING - NaN loss detected in batch 236, skipping
2025-03-04 21:49:36,905 - ufc_model - WARNING - NaN loss detected in batch 237, skipping
2025-03-04 21:49:36,906 - ufc_model - WARNING - NaN loss detected in batch 238, skipping
2025-03-04 21:49:36,906 - ufc_model - WARNING - NaN loss detected in batch 239, skipping
2025-03-04 21:49:36,907 - ufc_model - WARNING - NaN loss detected in batch 240, skipping
2025-03-04 21:49:36,907 - ufc_model - WARNING - NaN loss detected in batch 241, skipping
2025-03-04 21:49:36,908 - ufc_model - WARNING - NaN loss detected in batch 242, skipping
2025-03-04 21:49:36,909 - ufc_model - WARNING - NaN loss detected in batch 243, skipping
2025-03-04 21:49:36,909 - ufc_model - WARNING - NaN loss detected in batch 244, skipping
2025-03-04 21:49:36,910 - ufc_model - WARNING - NaN loss detected in batch 245, skipping
2025-03-04 21:49:36,910 - ufc_model - WARNING - NaN loss detected in batch 246, skipping
2025-03-04 21:49:36,911 - ufc_model - WARNING - NaN loss detected in batch 247, skipping
